Designator,Mid X,Mid Y,Layer,Rotation,Val,Package
U3,160.0025,-121.55,bottom,0,SHT45,SHT45_C_cutout_clean_new
C1,139.5,-124.58,top,90,0.1uF,C_0402_1005Metric
C2,118.08,-110.65,top,0,0.1uF,C_0402_1005Metric
C3,118.55,-114.08,top,90,0.1uF,C_0402_1005Metric
C4,129.5,-124.45,top,-90,10uF 16V,C_0805_2012Metric
C5,120.48,-105.25,top,0,0.1uF,C_0402_1005Metric
C6,122.52,-116.5,top,0,1uF,C_0402_1005Metric
C7,122.52,-115.5,top,0,0.1uF,C_0402_1005Metric
C8,124.52,-116.5,top,180,1uF,C_0402_1005Metric
C9,124.52,-115.5,top,180,0.1uF,C_0402_1005Metric
C10,123.7,-104.15,top,0,0.1uF,C_0402_1005Metric
C11,123.7,-103.2,top,0,1uF,C_0402_1005Metric
C12,125.92,-104.57,top,0,0.1uF,C_0402_1005Metric
C13,127.77,-105.1,top,180,0.1uF,C_0402_1005Metric
C14,128.9,-114.08,top,90,0.1uF,C_0402_1005Metric
C15,160,-103.8,top,180,22uF,C_0603_1608Metric
C16,130,-109.48,top,90,1uF,C_0402_1005Metric
C17,160,-105,top,180,0.1uF,C_0402_1005Metric
C18,129,-109.48,top,-90,0.1uF,C_0402_1005Metric
C19,129.47,-110.9,top,180,1uF,C_0402_1005Metric
C20,129,-107.13,top,90,0.1uF,C_0402_1005Metric
C21,160.02,-124.75,top,0,0.1uF,C_0402_1005Metric
C22,105.05,-119.825,top,-90,22uF,C_0603_1608Metric
C23,103.55,-119.825,top,-90,22uF,C_0603_1608Metric
C24,102.025,-119.825,top,-90,22uF,C_0603_1608Metric
C25,106.3,-119.33,top,90,0.1uF,C_0402_1005Metric
C26,108.22,-115.8,top,0,0.1uF,C_0402_1005Metric
C27,126.7,-122.55,top,90,10uF 16V,C_0805_2012Metric
C28,120.55,-123.030002,top,-90,0.1uF,C_0402_1005Metric
C29,112,-119.23,top,-90,0.1uF,C_0402_1005Metric
C30,113.5,-117.85,top,-90,10uF,C_0805_2012Metric
C31,115.5,-117.85,top,-90,10uF,C_0805_2012Metric
C32,216.185,-107.645,top,-90,22uF,C_0603_1608Metric
C33,214.935,-107.35,top,90,0.1uF,C_0402_1005Metric
D1,112.5625,-106.5,top,0,BLUE,LED_0805_2012Metric
J3,148.15,-123.4,top,0,BM03B-PASS-1-TFT,JST_BM03B-PASS-1-TFT
J4,137.5,-114,top,-90,FM20C06VBNN,FM20C06VBNN
J5,182.505,-114,top,90,FM20C06VBNN,FM20C06VBNN
L1,109.25,-123,top,0,1.5uH,L_Coilcraft_XxL4020
Q1,134.6776,-124.1,top,-90,BUK6Y33-60PX,LFPAK_SOT669_NEX
R1,118.5,-109.26,top,-90,4K7,R_0402_1005Metric
R2,116.5,-106.5,top,0,K82,R_0402_1005Metric
R3,158,-104.8,top,90,7K5,R_0402_1005Metric
R4,126.4,-103.11,top,-90,10K,R_0402_1005Metric
R5,130,-107.11,top,-90,10K,R_0402_1005Metric
R6,162.11,-105,top,180,7K5,R_0402_1005Metric
R7,105.79,-117.82,top,0,1M8,R_0402_1005Metric
R8,161.01,-126.2,top,0,10K,R_0402_1005Metric
R9,158.99,-126.2,top,180,10K,R_0402_1005Metric
R10,105.79,-116.82,top,0,200K,R_0402_1005Metric
R11,125.9,-115.99,top,-90,1K5,R_0402_1005Metric
R12,125.1,-103.13,top,90,1K5,R_0402_1005Metric
U1,123.765,-110.4,top,0,CY8C5888LTQ-LP097,QFN40P800X800X100-69N
U2,160.0025,-108,top,90,DRV8411A,WQFN16_RTE_TEX
U4,109.24,-118.5,top,0,TPS63020-Q1,TPS63020QDSJRQ1
U5,123.34745,-122.550001,top,180,AP7354-33W5-7,SOT25_AP7354_DIO
U6,208.679,-109.1,top,0,NC1000C,NC1000c
