Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C17, C18, C2, C20, C21, C25, C26, C28, C29, C3, C33, C5, C7, C9",0402,19,0.1uF,C77014
"C11, C16, C19, C6, C8",0402,5,1uF,C528974
"C15, C22, C23, C24, C32",0603,5,22uF,C77042
"C27, C4",0805,2,10uF 16V,C408142
"C30, C31",0805,2,10uF,C408142
D1,0805,1,BLUE,C98222
J3,JST_BM03B-PASS-1-TFT,1,BM03B-PASS-1-TFT,C485351
"J4, J5",FM20C06VBNN,2,FM20C06VBNN,
L1,L_Coilcraft_XxL4020,1,1.5uH,C18547833
Q1,LFPAK_SOT669_NEX,1,BUK6Y33-60PX,
R1,0402,1,4K7,C5455562
R10,0402,1,200K,C25764
"R11, R12",0402,2,1K5,C5575287
R2,0402,1,K82,C25135
R3,0402,1,7K5,C6117685
"R4, R5, R8, R9",0402,4,10K,C25744
R6,0402,1,7K5,C6117679
R7,0402,1,1M8,C185447
U1,QFN40P800X800X100-69N,1,CY8C5888LTQ-LP097,
U2,WQFN16_RTE_TEX,1,DRV8411A,C18816315
U3,SHT45_C_cutout_clean_new,1,SHT45,C5360602
U4,TPS63020QDSJRQ1,1,TPS63020-Q1,C2876554
U5,SOT25_AP7354_DIO,1,AP7354-33W5-7,C460386
U6,NC1000c,1,NC1000C,
