Comment,Designator,Footprint,JLCPCB Part #,MFR.Part #,Qty,DNP,Exclude from BOM,Exclude from Board,Datasheet
0.1uF,"C1,C2,C3,C5,C7,C9,C10,C12,C13,C14,C17,C18,C20,C21,C25,C26,C28,C29,C33",Capacitor_SMD:C_0402_1005Metric,C77014,GRM155R71E104KE14D,19,,,,~
10uF 16V,"C4,C27",Capacitor_SMD:C_0805_2012Metric,C408142,GRM21BR71C106KE51L,2,,,,~
1uF,"C6,C8,C11,C16,C19",Capacitor_SMD:C_0402_1005Metric,C528974,GRM155Z71A105KE01D,5,,,,~
22uF,"C15,C22,C23,C24,C32",Capacitor_SMD:C_0603_1608Metric,C77042,GRM188R60J226MEA0D,5,,,,~
10uF,"C30,C31",Capacitor_SMD:C_0805_2012Metric,C408142,GRM21BR71C106KE51L,2,,,,~
BLUE,D1,LED_SMD:LED_0805_2012Metric,C98222,LTST-C170TBKT,1,,,,~
ECV3-06,"J1,J2,J6",Tag-Connect-ECV3-Footprints:ECV3-06,,,3,,Excluded from BOM,,
BM03B-PASS-1-TFT,J3,BM03B_PASS_1_TFT:JST_BM03B-PASS-1-TFT,C485351,BM03B-PASS-1-TFT(LF)(SN),1,,,,
FM20C06VBNN,"J4,J5",FM20C06VBNN:FM20C06VBNN,,,2,,,,FM20C06VBNN
SolderJumper_3_Bridged12,JP1,Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,,,1,,Excluded from BOM,,~
1.5uH,L1,Inductor_SMD:L_Coilcraft_XxL4020,C18547833,XAL4020-152MEC,1,,,,~
BUK6Y33-60PX,Q1,BUK6Y33-60P:LFPAK_SOT669_NEX,,,1,,,,BUK6Y33-60PX
4K7,R1,Resistor_SMD:R_0402_1005Metric,C5455562,AC0402FR-7W4K7L,1,,,,~
K82,R2,Resistor_SMD:R_0402_1005Metric,C25135,0402WGF8200TCE,1,,,,~
7K5,R3,Resistor_SMD:R_0402_1005Metric,C6117685,AC0402FR-7W7K5L,1,,,,~
10K,"R4,R5,R8,R9",Resistor_SMD:R_0402_1005Metric,C25744,0402WGF1002TCE,4,,,,~
7K5,R6,Resistor_SMD:R_0402_1005Metric,C6117679,AC0402FR-7W3K9L,1,,,,~
1M8,R7,Resistor_SMD:R_0402_1005Metric,C185447,RC0402FR-071M8L,1,,,,~
200K,R10,Resistor_SMD:R_0402_1005Metric,C25764,0402WGF2003TCE,1,,,,~
1K5,"R11,R12",Resistor_SMD:R_0402_1005Metric,C5575287,AC0402FR-7W1K5L,2,,,,~
CY8C5888LTQ-LP097,U1,CY8C5888LTQ-LP097:QFN40P800X800X100-69N,,,1,,,,
DRV8411A,U2,DRV8411ARTER:WQFN16_RTE_TEX,C18816315,DRV8411ARTER,1,,,,https://www.ti.com/lit/gpn/drv8411a
SHT45,U3,SHT45-AD1F-R2:SHT45_C_cutout_clean_new,C5360602,SHT45-AD1F-R2,1,,,,https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf
TPS63020-Q1,U4,TPS63020QDSJRQ1:TPS63020QDSJRQ1,C2876554,TPS63020QDSJRQ1,1,,,,https://www.ti.com/lit/gpn/tps63020-q1
AP7354-33W5-7,U5,AP7354:SOT25_AP7354_DIO,C460386,AP7354-33W5-7,1,,,,AP7354-33W5-7
NC1000C,U6,NeoCortec:NC1000c,,,1,,,,
