"Designator","Comment","Footprint","JLCPCB Part #"
"C1,C2,C3,C5,C7,C9,C10,C12,C13,C14,C17,C18,C20,C21,C25,C26,C28,C29,C33","0.1uF","Capacitor_SMD:C_0402_1005Metric","C77014"
"C4,C27,C30,C31","10uF","Capacitor_SMD:C_0805_2012Metric","C408142"
"C6,C8,C11,C16,C19","1uF","Capacitor_SMD:C_0402_1005Metric","C528974"
"C15,C22,C23,C24,C32","22uF","Capacitor_SMD:C_0603_1608Metric","C77042"
"D1","BLUE","LED_SMD:LED_0805_2012Metric","C98222"
"J1,J2,J6","ECV3-06","Tag-Connect-ECV3-Footprints:ECV3-06",""
"J3","BM03B-PASS-1-TFT","BM03B_PASS_1_TFT:JST_BM03B-PASS-1-TFT","C485351"
"J4,J5","FM20C06VBNN","FM20C06VBNN:FM20C06VBNN",""
"JP1","SolderJumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm",""
"L1","1.5uH","Inductor_SMD:L_Coilcraft_XxL4020","C18547833"
"Q1","BUK6Y33-60PX","BUK6Y33-60P:LFPAK_SOT669_NEX",""
"R1","4K7","Resistor_SMD:R_0402_1005Metric","C5455562"
"R2","K82","Resistor_SMD:R_0402_1005Metric","C25135"
"R3","7K5","Resistor_SMD:R_0402_1005Metric","C6117685"
"R4,R5,R8,R9","10K","Resistor_SMD:R_0402_1005Metric","C25744"
"R6","7K5","Resistor_SMD:R_0402_1005Metric","C6117679"
"R7","1M8","Resistor_SMD:R_0402_1005Metric","C185447"
"R10","200K","Resistor_SMD:R_0402_1005Metric","C25764"
"R11,R12","1K5","Resistor_SMD:R_0402_1005Metric","C5575287"
"U1","CY8C5888LTQ-LP097","CY8C5888LTQ-LP097:QFN40P800X800X100-69N",""
"U2","DRV8411A","DRV8411ARTER:WQFN16_RTE_TEX","C18816315"
"U3","SHT45","SHT45-AD1F-R2:SHT45_C_cutout_clean_new","C5360602"
"U4","TPS63020-Q1","TPS63020QDSJRQ1:TPS63020QDSJRQ1","C2876554"
"U5","AP7354-33W5-7","AP7354:SOT25_AP7354_DIO","C460386"
"U6","NC1000C","NeoCortec:NC1000c",""
