Designator,Mid X,Mid Y,Rotation,Layer
C1,139.5,-124.58,90.0,top
C10,123.7,-104.15,0.0,top
C11,123.7,-103.2,0.0,top
C12,125.92,-104.57,0.0,top
C13,127.77,-105.1,180.0,top
C14,128.9,-114.08,90.0,top
C15,160.0,-103.8,180.0,top
C16,130.0,-109.48,90.0,top
C17,160.0,-105.0,180.0,top
C18,129.0,-109.48,270.0,top
C19,129.47,-110.9,180.0,top
C2,118.08,-110.65,0.0,top
C20,129.0,-107.13,90.0,top
C21,160.02,-124.75,0.0,top
C22,105.05,-119.825,270.0,top
C23,103.55,-119.825,270.0,top
C24,102.025,-119.825,270.0,top
C25,106.3,-119.33,90.0,top
C26,108.22,-115.8,0.0,top
C27,126.7,-122.55,90.0,top
C28,120.55,-123.030002,270.0,top
C29,112.0,-119.23,270.0,top
C3,118.55,-114.08,90.0,top
C30,113.5,-117.85,270.0,top
C31,115.5,-117.85,270.0,top
C32,216.185,-107.645,270.0,top
C33,214.935,-107.35,90.0,top
C4,129.5,-124.45,270.0,top
C5,120.48,-105.25,0.0,top
C6,122.52,-116.5,0.0,top
C7,122.52,-115.5,0.0,top
C8,124.52,-116.5,180.0,top
C9,124.52,-115.5,180.0,top
D1,112.5625,-106.5,0.0,top
J3,148.15,-123.4,0.0,top
J4,137.5,-114.0,270.0,top
J5,182.505,-114.0,90.0,top
L1,109.25,-123.0,0.0,top
Q1,134.6776,-124.1,270.0,top
R1,118.5,-109.26,270.0,top
R10,105.79,-116.82,0.0,top
R11,125.9,-115.99,270.0,top
R12,125.1,-103.13,90.0,top
R2,116.5,-106.5,0.0,top
R3,158.0,-104.8,90.0,top
R4,126.4,-103.11,270.0,top
R5,130.0,-107.11,270.0,top
R6,162.11,-105.0,180.0,top
R7,105.79,-117.82,0.0,top
R8,161.01,-126.2,0.0,top
R9,158.99,-126.2,180.0,top
U1,123.765,-110.4,0.0,top
U2,160.0025,-108.0,90.0,top
U3,160.0025,-121.55,180.0,bottom
U4,109.24,-118.5,0.0,top
U5,123.34745,-122.550001,180.0,top
U6,208.679,-109.1,0.0,top
